"Spp","n"
"Chamberlainium decipiens",3
"Dawsoniolithon conicum",32
"Harveylithon munitum",3
"Harveylithon rupestre",1
"Hydrolithon boergesenii",106
"Hydrolithon breviclavium",4
"Leptophytum foecundum",26
"Lithophyllum alternans",2
"Lithophyllum atlanticum",15
"Lithophyllum brachiatum",7
"Lithophyllum canescens",14
"Lithophyllum coibense",2
"Lithophyllum corallinae",8
"Lithophyllum crouaniorum",16
"Lithophyllum dentatum",18
"Lithophyllum depressum",9
"Lithophyllum divaricatum",1
"Lithophyllum fasciculatum",31
"Lithophyllum hibernicum",35
"Lithophyllum imitans",36
"Lithophyllum incrustans",833
"Lithophyllum johansenii",12
"Lithophyllum kotschyanum",21
"Lithophyllum margaritae",38
"Lithophyllum neoatalayense",2
"Lithophyllum okamurae",13
"Lithophyllum pallescens",20
"Lithophyllum prototypum",50
"Lithophyllum pygmaeum",32
"Lithophyllum racemus",46
"Lithophyllum stictiforme",64
"Lithoporella melobesioides",33
"Lithothamnion australe",13
"Lithothamnion brasiliense",2
"Lithothamnion californicum",7
"Lithothamnion corallioides",373
"Lithothamnion crispatum",25
"Lithothamnion diguetii",2
"Lithothamnion giganteum",3
"Lithothamnion glaciale",1121
"Lithothamnion guadalupense",2
"Lithothamnion heterocladum",1
"Lithothamnion minervae",8
"Lithothamnion muelleri",23
"Lithothamnion occidentale",5
"Lithothamnion phymatodeum",51
"Lithothamnion proliferum",12
"Lithothamnion ruptile",14
"Lithothamnion tophiforme",1
"Lithothamnion valens",19
"Lithothamnion validum",4
"Mastophora pacifica",7
"Mastophora rosea",73
"Melyvonnea erubescens",84
"Mesophyllum crassiusculum",10
"Mesophyllum engelhartii",35
"Mesophyllum expansum",181
"Mesophyllum funafutiense",4
"Mesophyllum lichenoides",570
"Mesophyllum sphaericum",1
"Mesophyllum syrphetodes",1
"Neogoniolithon brassica-florida",51
"Neogoniolithon fosliei",8
"Neogoniolithon hauckii",1
"Neogoniolithon setchelii",2
"Neogoniolithon spectabile",7
"Neogoniolithon strictum",15
"Peyssonnelia crispata",6
"Peyssonnelia heteromorpha",17
"Peyssonnelia rosa-marina",33
"Phymatolithon calcareum",1157
"Phymatolithon lenormandii",1
"Phymatolithon lusitanicum",4
"Phymatolithon masonianum",27
"Phymatolithon purpureum",111
"Phymatolithon repandum",48
"Pneophyllum fragile",236
"Porolithon onkodes",159
"Porolithon sonorense",1
"Spongites fruticulosus",11
"Spongites hyperellus",18
"Spongites yendoi",4
"Sporolithon durum",46
"Sporolithon elevatum",3
"Sporolithon episoredion",1
"Sporolithon episporum",4
"Sporolithon erythraeum",1
"Sporolithon molle",1
"Sporolithon ptychoides",16
"Sporolithon tenue",2
"Sporolithon yoneshigueae",3
"Titanoderma pustulatum",164
